std_sample_name	cellosaurus_id	gse_id	organism	bio_rep	antibody_target	restriction_enzyme	sample_name
Paraxial_Mesoderm_Precursors_D1.GSE126362.Mus_Musculus.MboI.b1		GSE126362	Mus_Musculus	1	Pax3	MboI	Paraxial_Mesoderm_Precursors_D1
Paraxial_Mesoderm_Precursors_D1.GSE126362.Mus_Musculus.MboI.b2		GSE126362	Mus_Musculus	2	Pax3	MboI	Paraxial_Mesoderm_Precursors_D1
shCtrl_D6.GSE126362.Mus_Musculus.MboI.b1		GSE126362	Mus_Musculus	1	Pax3	MboI	shCtrl_D6
shCtrl_D6.GSE126362.Mus_Musculus.MboI.b2		GSE126362	Mus_Musculus	2	Pax3	MboI	shCtrl_D6
shLdb1_D6.GSE126362.Mus_Musculus.MboI.b1		GSE126362	Mus_Musculus	1	Pax3	MboI	shLdb1_D6
shLdb1_D6.GSE126362.Mus_Musculus.MboI.b2		GSE126362	Mus_Musculus	2	Pax3	MboI	shLdb1_D6
Tconv.GSE189442.Mus_Musculus.MboI.b1		GSE189442	Mus_Musculus	1	H3K27ac	MboI	Tconv
Tconv.GSE189442.Mus_Musculus.MboI.b2		GSE189442	Mus_Musculus	2	H3K27ac	MboI	Tconv
Tconv.GSE189442.Mus_Musculus.MboI.b1		GSE189442	Mus_Musculus	1	IgG	MboI	Tconv
TKO_0H.GSE113339.Mus_Musculus.MboI.b1		GSE113339	Mus_Musculus	1	H3K27ac	MboI	TKO_0H
TKO_0H.GSE113339.Mus_Musculus.MboI.b2		GSE113339	Mus_Musculus	2	H3K27ac	MboI	TKO_0H
TKO_0H.GSE113339.Mus_Musculus.MboI.b3		GSE113339	Mus_Musculus	3	H3K27ac	MboI	TKO_0H
TKO_24H.GSE113339.Mus_Musculus.MboI.b1		GSE113339	Mus_Musculus	1	H3K27ac	MboI	TKO_24H
TKO_24H.GSE113339.Mus_Musculus.MboI.b2		GSE113339	Mus_Musculus	2	H3K27ac	MboI	TKO_24H
TKO_24H.GSE113339.Mus_Musculus.MboI.b3		GSE113339	Mus_Musculus	3	H3K27ac	MboI	TKO_24H
Treg.GSE189442.Mus_Musculus.MboI.b1		GSE189442	Mus_Musculus	1	H3K27ac	MboI	Treg
Treg.GSE189442.Mus_Musculus.MboI.b2		GSE189442	Mus_Musculus	2	H3K27ac	MboI	Treg
Treg.GSE189442.Mus_Musculus.MboI.b1		GSE189442	Mus_Musculus	1	FoxP3	MboI	Treg
Treg.GSE189442.Mus_Musculus.MboI.b2		GSE189442	Mus_Musculus	2	FoxP3	MboI	Treg
Treg.GSE189442.Mus_Musculus.MboI.b1		GSE189442	Mus_Musculus	1	YY1	MboI	Treg
Treg.GSE189442.Mus_Musculus.MboI.b2		GSE189442	Mus_Musculus	2	YY1	MboI	Treg
Treg.GSE189442.Mus_Musculus.MboI.b1		GSE189442	Mus_Musculus	1	IgG	MboI	Treg
Treg_KOGFP.GSE189442.Mus_Musculus.MboI.b1		GSE189442	Mus_Musculus	1	H3K27ac	MboI	Treg_KOGFP
Treg_KOGFP.GSE189442.Mus_Musculus.MboI.b2		GSE189442	Mus_Musculus	2	H3K27ac	MboI	Treg_KOGFP
Treg_MT.GSE112176.Mus_Musculus.MboI.b1		GSE112176	Mus_Musculus	1	H3K27ac	MboI	Treg_MT
Treg_MT.GSE112176.Mus_Musculus.MboI.b2		GSE112176	Mus_Musculus	2	H3K27ac	MboI	Treg_MT
Treg_WT.GSE112176.Mus_Musculus.MboI.b1		GSE112176	Mus_Musculus	1	H3K27ac	MboI	Treg_WT
Treg_WT.GSE112176.Mus_Musculus.MboI.b2		GSE112176	Mus_Musculus	2	H3K27ac	MboI	Treg_WT
Treg_WTGFP.GSE189442.Mus_Musculus.MboI.b1		GSE189442	Mus_Musculus	1	H3K27ac	MboI	Treg_WTGFP
Treg_WTGFP.GSE189442.Mus_Musculus.MboI.b2		GSE189442	Mus_Musculus	2	H3K27ac	MboI	Treg_WTGFP
Villus.GSE148691.Mus_Musculus.MboI.b1		GSE148691	Mus_Musculus	1	H3K4me3	MboI	Villus
Villus_Hnf4DKO.GSE148691.Mus_Musculus.MboI.b1		GSE148691	Mus_Musculus	1	H3K4me3	MboI	Villus_Hnf4DKO
